,player_name,recent_team,season,week,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points
64918,C.Batch,PIT,2012,12,REG,20,34,199.0,0,3.0,1.0,0,0.0,0,0,0,0.0,0,1.96
64919,C.Batch,PIT,2012,13,REG,25,36,276.0,1,1.0,2.0,0,0.0,0,0,0,0.0,0,13.04
64920,D.Driver,GB,2012,2,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,1,26.0,1,8.6
64921,D.Driver,GB,2012,3,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0.0
64922,D.Driver,GB,2012,4,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,2,3.0,0,0.3
64923,D.Driver,GB,2012,5,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,2,14.0,0,1.4
64924,D.Driver,GB,2012,7,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,1,2.0,0,0.2
64925,D.Driver,GB,2012,8,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,2,2,10.0,1,7.0
64926,D.Driver,GB,2012,9,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,2,10.0,0,1.0
64927,D.Driver,GB,2012,11,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,1,1,12.0,0,1.2
64928,D.Driver,GB,2012,16,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0,0.0
64929,T.Gonzalez,ATL,2012,1,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,5,6,53.0,1,11.3
64930,T.Gonzalez,ATL,2012,2,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,7,10,70.0,1,13.0
64931,T.Gonzalez,ATL,2012,3,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,9,12,91.0,1,15.1
64932,T.Gonzalez,ATL,2012,4,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,5,5,51.0,0,5.1
64933,T.Gonzalez,ATL,2012,5,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,13,14,123.0,1,18.3
64934,T.Gonzalez,ATL,2012,6,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,4,7,42.0,0,4.2
64935,T.Gonzalez,ATL,2012,8,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,3,5,29.0,0,2.9
64936,T.Gonzalez,ATL,2012,9,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,4,5,36.0,0,3.6
64937,T.Gonzalez,ATL,2012,10,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,11,15,122.0,2,24.2
64938,T.Gonzalez,ATL,2012,11,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,3,8,33.0,0,3.3
64939,T.Gonzalez,ATL,2012,12,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,5,5,62.0,0,6.2
64940,T.Gonzalez,ATL,2012,13,REG,0,0,0.0,0,0.0,0.0,0,0.0,0,4,5,58.0,1,11.8
