,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,C.Batch,2007,REG,17,36,232.0,2,3.0,0.0,432.0,12,-7.0,0,0.0,0,0,0.0,0,0.0,10.579999999999998
1,M.Berger,2007,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,1.0,0,0,0.0,0,0.0,0.0
2,M.Berger,2008,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,0.0,0,0,0.0,0,0.0,0.0
3,M.Booker,2007,REG,0,1,0.0,0,0.0,0.0,0.0,2,12.0,0,1.0,50,50,556.0,1,127.0,60.800000000000004
4,M.Booker,2008,REG,0,0,0.0,0,0.0,0.0,0.0,1,3.0,0,0.0,14,16,211.0,2,95.0,33.4
5,D.Bowens,2007,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,6.0
6,K.Brady,2007,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,9,9,70.0,2,24.0,19.0
7,I.Bruce,2007,REG,0,0,0.0,0,0.0,0.0,0.0,2,-4.0,0,0.0,55,61,733.0,4,119.0,96.9
8,I.Bruce,2008,REG,0,1,0.0,0,0.0,0.0,9.0,1,-3.0,0,0.0,60,74,833.0,7,198.0,125.0
9,D.Campbell,2007,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,1.0,0,0.0,0.1
10,D.Campbell,2008,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,21.0,0,8.0,2.1
11,M.Campbell,2008,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12,12,121.0,2,69.0,24.1
12,D.Clark,2007,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,44,44,545.0,4,234.0,78.5
13,D.Clark,2008,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,41,47,367.0,1,207.0,42.7
14,K.Collins,2007,REG,50,82,531.0,0,0.0,5.0,678.0,3,-3.0,0,0.0,0,0,0.0,0,0.0,18.94
15,K.Collins,2008,REG,243,416,2681.0,12,7.0,8.0,3593.0,25,49.0,0,2.0,0,0,0.0,0,0.0,146.14000000000001
