,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,M.Hasselbeck,2015,REG,156,256,1690.0,9,5.0,16.0,1900.0,16,15.0,0,0.0,0,0,0.0,0,0.0,91.1
1,P.Manning,2015,REG,198,331,2249.0,9,17.0,16.0,3112.0,6,-6.0,0,0.0,0,0,0.0,0,0.0,91.36
2,C.Woodson,2015,REG,0,0,0.0,0,0.0,0.0,0.0,1,-3.0,0,0.0,0,0,0.0,0,0.0,-0.30000000000000004
3,T.Brady,2015,REG,402,624,4770.0,36,7.0,38.0,4915.0,34,53.0,3,1.0,1,1,36.0,0,29.0,343.7
4,T.Brady,2016,REG,291,432,3554.0,28,2.0,15.0,3353.0,28,64.0,0,1.0,0,0,0.0,0,0.0,258.56
5,M.Vick,2015,REG,40,66,371.0,2,1.0,10.0,631.0,20,99.0,0,1.0,0,0,0.0,0,0.0,30.740000000000002
6,S.Smith,2015,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,46,73,670.0,3,256.0,85.00000000000001
7,S.Smith,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,67,96,765.0,5,261.0,110.5
8,S.Smith,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,67,96,765.0,5,261.0,110.5
9,S.Smith Sr.,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,5,34.0,0,20.0,3.4000000000000004
10,S.Smith Sr.,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,5,34.0,0,20.0,3.4000000000000004
11,D.Brees,2015,REG,428,627,4870.0,32,11.0,31.0,4908.0,24,14.0,1,0.0,0,0,0.0,0,0.0,304.2
12,D.Brees,2016,REG,471,673,5208.0,37,15.0,27.0,4795.0,23,20.0,2,0.0,0,0,0.0,0,0.0,332.32
13,S.Hill,2015,REG,2,7,15.0,0,0.0,1.0,59.0,4,-5.0,0,0.0,0,0,0.0,0,0.0,0.09999999999999998
14,S.Hill,2016,REG,19,35,242.0,0,0.0,1.0,348.0,5,5.0,0,0.0,0,0,0.0,0,0.0,10.18
15,J.McCown,2015,REG,186,292,2109.0,12,4.0,23.0,2266.0,20,98.0,1,3.0,0,0,0.0,0,0.0,132.16
16,J.McCown,2016,REG,90,165,1100.0,6,6.0,18.0,1649.0,7,21.0,0,2.0,0,0,0.0,0,0.0,52.1
17,C.Palmer,2015,REG,342,537,4671.0,35,11.0,25.0,5765.0,25,24.0,1,2.0,0,0,0.0,0,0.0,309.24
18,C.Palmer,2016,REG,364,597,4233.0,26,14.0,40.0,5635.0,14,38.0,0,5.0,0,0,0.0,0,0.0,243.12
