,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,T.Brady,2019,REG,373,613,4057.0,24,8.0,27.0,4613.0,26,34.0,3,0.0,0,0,0.0,0,0.0,263.68
1,T.Brady,2020,REG,401,610,4633.0,40,12.0,21.0,5529.0,30,6.0,3,3.0,0,0,0.0,0,0.0,337.92
2,D.Brees,2019,REG,281,378,2979.0,27,4.0,12.0,2425.0,9,-4.0,1,0.0,0,0,0.0,0,0.0,224.76
3,D.Brees,2020,REG,275,390,2942.0,24,6.0,13.0,2361.0,18,-2.0,2,0.0,0,0,0.0,0,0.0,209.48000000000002
4,J.McCown,2019,REG,3,5,24.0,0,0.0,0.0,22.0,2,-2.0,0,0.0,0,0,0.0,0,0.0,0.76
5,J.Witten,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,63,83,529.0,4,162.0,76.9
6,J.Witten,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,13,17,69.0,2,20.0,18.9
7,M.Schaub,2019,REG,50,67,580.0,3,1.0,2.0,488.0,3,-3.0,0,0.0,0,0,0.0,0,0.0,32.900000000000006
8,M.Schaub,2020,REG,0,0,0.0,0,0.0,0.0,0.0,3,-4.0,0,0.0,0,0,0.0,0,0.0,-0.4
9,E.Manning,2019,REG,91,147,1042.0,6,5.0,5.0,1199.0,4,7.0,0,1.0,0,0,0.0,0,0.0,54.38
10,A.Lee,2019,REG,1,1,26.0,0,0.0,0.0,26.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.04
11,A.Lee,2020,REG,1,1,26.0,0,0.0,0.0,14.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.04
12,L.Fitzgerald,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,75,109,804.0,4,343.0,102.4
13,L.Fitzgerald,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,54,72,409.0,1,185.0,46.9
14,B.Roethlisberger,2019,REG,35,62,351.0,0,1.0,2.0,576.0,1,7.0,0,0.0,0,0,0.0,0,0.0,12.74
15,B.Roethlisberger,2020,REG,399,608,3803.0,33,10.0,13.0,4220.0,25,11.0,0,3.0,0,0,0.0,0,0.0,267.22
16,P.Rivers,2019,REG,390,591,4615.0,23,20.0,34.0,5047.0,12,29.0,0,3.0,0,0,0.0,0,0.0,235.5
17,P.Rivers,2020,REG,369,543,4169.0,24,11.0,19.0,3883.0,18,-8.0,0,0.0,0,0,0.0,0,0.0,239.96
18,B.Watson,2019,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,17,24,173.0,0,83.0,17.3
19,A.Smith,2020,REG,168,252,1582.0,6,8.0,22.0,1286.0,10,3.0,0,1.0,0,0,0.0,0,0.0,71.58
20,A.Rodgers,2019,REG,353,569,4002.0,26,4.0,36.0,5006.0,46,183.0,1,1.0,0,0,0.0,0,0.0,278.38
21,A.Rodgers,2020,REG,372,526,4299.0,48,5.0,20.0,4135.0,38,149.0,3,3.0,1,1,-6.0,0,-2.0,382.26
22,F.Gore,2019,REG,0,0,0.0,0,0.0,0.0,0.0,166,599.0,2,0.0,13,16,100.0,0,88.0,81.9
23,F.Gore,2020,REG,0,0,0.0,0,0.0,0.0,0.0,187,653.0,2,1.0,16,19,89.0,0,73.0,84.2
24,D.Colquitt,2019,REG,0,1,0.0,0,0.0,0.0,4.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
