,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
622,R.Grant,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,45,65,573.0,4,235.0,81.3
623,N.Berhe,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,2.0,0,0.0,0,0,0.0,0,0.0,0.2
624,A.Blue,2016,REG,0,0,0.0,0,0.0,0.0,0.0,100,420.0,1,2.0,12,16,40.0,0,28.0,50.0
625,A.Blue,2017,REG,0,0,0.0,0,0.0,0.0,0.0,71,262.0,1,0.0,7,9,54.0,0,42.0,37.6
626,D.Fales,2016,REG,2,5,22.0,0,0.0,1.0,49.0,1,0.0,0,1.0,0,0,0.0,0,0.0,0.88
627,D.Fales,2017,REG,29,43,265.0,1,1.0,1.0,278.0,4,8.0,1,0.0,0,0,0.0,0,0.0,19.4
628,P.O'Donnell,2017,REG,1,1,38.0,1,0.0,0.0,7.0,0,0.0,0,0.0,0,0,0.0,0,0.0,5.52
629,J.Prosch,2016,REG,0,0,0.0,0,0.0,0.0,0.0,4,9.0,0,0.0,1,1,6.0,0,5.0,1.5
630,J.Prosch,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,4,4,31.0,0,27.0,3.1
631,K.Bibbs,2016,REG,0,0,0.0,0,0.0,0.0,0.0,29,129.0,0,0.0,2,4,75.0,1,80.0,26.4
632,K.Bibbs,2017,REG,0,0,0.0,0,0.0,0.0,0.0,21,79.0,0,0.0,14,17,128.0,1,128.0,26.700000000000003
633,C.Brown,2016,REG,0,0,0.0,0,0.0,0.0,0.0,2,6.0,0,0.0,27,53,276.0,1,112.0,32.2
634,A.Glanton,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,6.0
635,M.Williams,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,1,31.0,0,25.0,3.1
636,G.Atkinson III,2016,REG,0,0,0.0,0,0.0,0.0,0.0,7,34.0,1,0.0,0,0,0.0,0,0.0,9.4
637,S.Roberts,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,38,77,397.0,5,195.0,73.7
638,S.Roberts,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,43,65,455.0,1,104.0,47.5
639,T.Jones,2016,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,5,14,93.0,0,30.0,9.3
640,T.Jones,2017,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,30,49,399.0,1,77.0,47.900000000000006
641,S.Perry,2017,REG,0,0,0.0,0,0.0,0.0,0.0,8,30.0,0,0.0,1,1,3.0,0,0.0,3.3000000000000003
642,T.Gabriel,2016,REG,0,0,0.0,0,0.0,0.0,0.0,4,51.0,1,0.0,35,50,579.0,6,284.0,105.0
643,T.Gabriel,2017,REG,0,0,0.0,0,0.0,0.0,0.0,8,49.0,0,0.0,33,51,378.0,1,217.0,48.7
644,O.Beckham,2016,REG,0,0,0.0,0,0.0,1.0,0.0,1,9.0,0,0.0,101,169,1367.0,10,534.0,195.60000000000002
645,O.Beckham,2017,REG,0,0,0.0,0,0.0,0.0,0.0,1,8.0,0,0.0,25,41,302.0,3,65.0,49.0
646,B.Cooks,2016,REG,0,0,0.0,0,0.0,0.0,0.0,6,30.0,0,0.0,78,117,1173.0,8,384.0,168.3
647,B.Cooks,2017,REG,0,0,0.0,0,0.0,0.0,0.0,9,40.0,0,0.0,65,114,1082.0,7,227.0,156.2
