,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,R.Barber,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,6.0
1,C.Batch,2009,REG,1,2,17.0,0,0.0,0.0,18.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.68
2,C.Batch,2010,REG,29,49,352.0,3,3.0,4.0,541.0,7,30.0,0,1.0,0,0,0.0,0,0.0,23.080000000000002
3,J.Bidwell,2010,REG,0,0,0.0,0,0.0,0.0,0.0,1,0.0,0,1.0,0,0,0.0,0,0.0,0.0
4,M.Booker,2009,REG,0,0,0.0,0,0.0,0.0,0.0,1,7.0,0,0.0,16,32,181.0,1,55.0,24.8
5,T.Bouman,2010,REG,18,34,222.0,2,2.0,1.0,250.0,2,8.0,0,0.0,0,0,0.0,0,0.0,13.680000000000003
6,I.Bruce,2009,REG,0,0,0.0,0,0.0,0.0,0.0,1,-8.0,0,0.0,21,49,264.0,0,64.0,25.6
7,M.Brunell,2009,REG,15,30,102.0,0,1.0,1.0,61.0,3,-3.0,0,0.0,0,0,0.0,0,0.0,1.78
8,M.Brunell,2010,REG,7,13,117.0,2,1.0,1.0,159.0,0,0.0,0,0.0,0,0,0.0,0,0.0,10.68
9,D.Clark,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,19,34,145.0,2,46.0,26.5
10,D.Clark,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,1,2,12.0,0,5.0,1.2000000000000002
11,K.Collins,2009,REG,119,216,1225.0,6,8.0,5.0,1742.0,12,15.0,1,3.0,0,0,0.0,0,0.0,60.5
12,K.Collins,2010,REG,160,278,1823.0,14,8.0,13.0,2723.0,10,1.0,0,2.0,0,0,0.0,0,0.0,109.02000000000001
13,T.Collins,2009,REG,12,23,144.0,0,0.0,2.0,168.0,1,0.0,0,1.0,0,0,0.0,0,0.0,5.76
14,T.Collins,2010,REG,10,27,68.0,0,5.0,2.0,186.0,0,0.0,0,0.0,0,0,0.0,0,0.0,-7.279999999999999
15,D.Culpepper,2009,REG,89,157,945.0,3,6.0,14.0,1307.0,18,91.0,0,2.0,0,0,0.0,0,0.0,46.9
16,P.Dawson,2009,REG,1,1,10.0,0,0.0,0.0,2.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.4
17,J.Delhomme,2009,REG,178,321,2015.0,8,18.0,23.0,2925.0,17,60.0,0,2.0,0,0,0.0,0,0.0,78.60000000000001
18,J.Delhomme,2010,REG,93,149,872.0,2,7.0,6.0,1119.0,8,-2.0,0,1.0,0,0,0.0,0,0.0,26.68
19,D.Driver,2009,REG,0,0,0.0,0,0.0,0.0,0.0,1,13.0,0,0.0,70,112,1061.0,6,373.0,141.4
20,D.Driver,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,51,85,565.0,4,176.0,78.5
21,B.Engram,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,5,10,61.0,0,17.0,6.1000000000000005
22,K.Faulk,2009,REG,0,0,0.0,0,0.0,0.0,0.0,62,335.0,2,0.0,37,53,301.0,1,280.0,81.60000000000001
23,K.Faulk,2010,REG,0,0,0.0,0,0.0,0.0,0.0,8,45.0,0,0.0,6,10,62.0,0,34.0,10.7
24,B.Favre,2009,REG,364,532,4202.0,33,7.0,34.0,4238.0,9,7.0,0,0.0,1,1,-2.0,0,-2.0,282.58
25,B.Favre,2010,REG,217,358,2509.0,11,19.0,22.0,3065.0,17,8.0,0,4.0,0,0,0.0,0,0.0,97.16000000000001
26,J.Feagles,2009,REG,0,0,0.0,0,0.0,0.0,0.0,1,-8.0,0,1.0,0,0,0.0,0,0.0,-2.8
27,B.Finneran,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,11,16,111.0,0,48.0,11.100000000000001
28,B.Finneran,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,19,32,166.0,3,45.0,34.6
29,J.Galloway,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,7,19,67.0,0,29.0,6.700000000000001
30,J.Galloway,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,12,38,173.0,0,18.0,17.3
31,J.Garcia,2009,REG,0,0,0.0,0,0.0,0.0,0.0,3,-2.0,0,1.0,0,0,0.0,0,0.0,-2.2
32,T.Gonzalez,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,83,135,867.0,6,240.0,122.7
33,T.Gonzalez,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,70,108,656.0,6,191.0,101.60000000000001
34,A.Green,2009,REG,0,0,0.0,0,0.0,0.0,0.0,41,160.0,1,0.0,3,5,18.0,0,23.0,23.8
35,M.Hasselbeck,2009,REG,293,488,3029.0,17,17.0,32.0,3351.0,26,119.0,0,4.0,0,0,0.0,0,0.0,161.06
36,M.Hasselbeck,2010,REG,266,444,3001.0,12,17.0,29.0,3870.0,23,60.0,3,1.0,0,0,0.0,0,0.0,148.04
37,S.Heiden,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,17,73.0,1,22.0,11.3
38,T.Holt,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,51,103,722.0,0,141.0,70.2
39,E.James,2009,REG,0,0,0.0,0,0.0,0.0,0.0,46,125.0,0,1.0,3,3,19.0,0,20.0,14.400000000000002
40,D.Johnson,2009,REG,0,1,0.0,0,0.0,0.0,9.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
41,R.Kelly,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,13,42.0,0,31.0,4.2
42,J.Kitna,2010,REG,209,318,2365.0,16,12.0,21.0,2140.0,31,147.0,1,2.0,0,0,0.0,0,0.0,157.3
43,J.Kleinsasser,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,16,70.0,0,28.0,7.0
44,J.Kleinsasser,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,17,21,148.0,0,78.0,14.8
45,P.Manning,2009,REG,393,571,4500.0,33,16.0,10.0,4950.0,19,-13.0,0,1.0,0,0,0.0,0,0.0,278.7
46,P.Manning,2010,REG,450,679,4700.0,33,17.0,16.0,5905.0,18,18.0,0,1.0,0,0,0.0,0,0.0,285.8
47,D.Mason,2009,REG,0,0,0.0,0,0.0,0.0,0.0,1,2.0,0,0.0,73,134,1028.0,7,260.0,145.0
48,D.Mason,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,61,100,802.0,7,128.0,122.2
49,B.Maynard,2009,REG,1,1,0.0,0,0.0,0.0,-3.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
50,D.McNabb,2009,REG,267,443,3553.0,22,10.0,36.0,3841.0,36,141.0,2,3.0,1,1,1.0,0,14.0,234.32000000000002
51,D.McNabb,2010,REG,275,472,3377.0,14,15.0,37.0,4082.0,29,151.0,0,3.0,0,0,0.0,0,0.0,174.18
52,B.Moorman,2009,REG,1,1,25.0,1,0.0,0.0,19.0,0,0.0,0,0.0,0,0,0.0,0,0.0,5.0
53,B.Moorman,2010,REG,0,0,0.0,0,0.0,0.0,0.0,2,1.0,0,0.0,0,0,0.0,0,0.0,0.1
54,S.Morey,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0
55,R.Moss,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,83,138,1264.0,13,413.0,204.4
56,R.Moss,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,28,63,393.0,5,63.0,69.3
57,M.Muhammad,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,53,89,581.0,1,173.0,64.10000000000001
58,J.Nesbit,2009,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,1,0.0,0,0.0,0.0
59,T.Owens,2009,REG,0,0,0.0,0,0.0,0.0,0.0,6,54.0,1,0.0,55,109,829.0,5,309.0,124.30000000000001
60,T.Owens,2010,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,72,139,983.0,9,288.0,152.3
