,player_name,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,passing_air_yards,carries,rushing_yards,rushing_tds,rushing_fumbles,receptions,targets,receiving_yards,receiving_tds,receiving_yards_after_catch,fantasy_points
0,T.Brady,2020,REG,401,610,4633.0,40,12.0,21.0,5529.0,30,6.0,3,3.0,0,0,0.0,0,0.0,337.92
1,T.Brady,2021,REG,347,508,3771.0,34,10.0,14.0,4034.0,19,52.0,1,0.0,0,0,0.0,0,0.0,274.03999999999996
2,D.Brees,2020,REG,275,390,2942.0,24,6.0,13.0,2361.0,18,-2.0,2,0.0,0,0,0.0,0,0.0,209.48000000000002
3,J.Witten,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,13,17,69.0,2,20.0,18.9
4,M.Schaub,2020,REG,0,0,0.0,0,0.0,0.0,0.0,3,-4.0,0,0.0,0,0,0.0,0,0.0,-0.4
5,A.Lee,2020,REG,1,1,26.0,0,0.0,0.0,14.0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.04
6,L.Fitzgerald,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,54,72,409.0,1,185.0,46.9
7,B.Roethlisberger,2020,REG,399,608,3803.0,33,10.0,13.0,4220.0,25,11.0,0,3.0,0,0,0.0,0,0.0,267.22
8,B.Roethlisberger,2021,REG,270,415,2758.0,16,6.0,25.0,2888.0,12,5.0,0,0.0,0,0,0.0,0,0.0,156.82
9,P.Rivers,2020,REG,369,543,4169.0,24,11.0,19.0,3883.0,18,-8.0,0,0.0,0,0,0.0,0,0.0,239.96
10,A.Smith,2020,REG,168,252,1582.0,6,8.0,22.0,1286.0,10,3.0,0,1.0,0,0,0.0,0,0.0,71.58
11,A.Rodgers,2020,REG,372,526,4299.0,48,5.0,20.0,4135.0,38,149.0,3,3.0,1,1,-6.0,0,-2.0,382.26
12,A.Rodgers,2021,REG,74,115,984.0,6,1.0,4.0,919.0,6,29.0,1,1.0,0,0,0.0,0,0.0,70.26
13,A.Rodgers,2021,REG,74,115,984.0,6,1.0,4.0,919.0,6,29.0,1,1.0,0,0,0.0,0,0.0,70.26
14,Aa.Rodgers,2021,REG,173,258,1894.0,17,3.0,17.0,2101.0,18,47.0,2,0.0,1,1,-4.0,0,0.0,154.06
15,Aa.Rodgers,2021,REG,173,258,1894.0,17,3.0,17.0,2101.0,18,47.0,2,0.0,1,1,-4.0,0,0.0,154.06
16,F.Gore,2020,REG,0,0,0.0,0,0.0,0.0,0.0,187,653.0,2,1.0,16,19,89.0,0,73.0,84.2
17,R.Fitzpatrick,2020,REG,183,267,2091.0,13,8.0,14.0,2072.0,30,151.0,2,0.0,1,1,0.0,0,4.0,152.74
18,R.Fitzpatrick,2021,REG,3,6,13.0,0,0.0,1.0,9.0,1,2.0,0,0.0,0,0,0.0,0,0.0,0.72
19,M.Lewis,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,10,17,107.0,3,57.0,28.7
20,M.Lewis,2021,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,14,17,121.0,0,85.0,12.100000000000001
21,S.Koch,2020,REG,1,1,15.0,0,0.0,0.0,9.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.6
22,A.Peterson,2020,REG,0,0,0.0,0,0.0,0.0,0.0,156,604.0,7,0.0,12,18,101.0,0,103.0,112.5
23,A.Peterson,2021,REG,0,0,0.0,0,0.0,0.0,0.0,38,98.0,2,1.0,4,4,8.0,0,14.0,22.6
24,T.Ginn,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,3,6,40.0,0,10.0,4.0
25,G.Olsen,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,24,37,239.0,1,49.0,29.900000000000002
26,B.Kern,2020,REG,0,1,0.0,0,0.0,0.0,18.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0
27,D.Amendola,2020,REG,0,0,0.0,0,0.0,0.0,0.0,1,2.0,0,0.0,46,69,602.0,0,290.0,60.4
28,D.Amendola,2021,REG,0,1,0.0,0,0.0,0.0,14.0,0,0.0,0,0.0,17,29,135.0,1,70.0,19.5
29,M.Ryan,2020,REG,407,626,4581.0,26,11.0,41.0,5342.0,29,92.0,2,2.0,0,0,0.0,0,0.0,282.44
30,M.Ryan,2021,REG,286,420,2914.0,16,11.0,26.0,2811.0,24,45.0,1,5.0,0,0,0.0,0,0.0,167.06
31,J.Flacco,2020,REG,74,134,864.0,6,3.0,7.0,1425.0,6,22.0,0,1.0,0,0,0.0,0,0.0,54.760000000000005
32,J.Flacco,2021,REG,27,42,338.0,3,0.0,2.0,336.0,2,3.0,0,0.0,0,0,0.0,0,0.0,23.82
33,D.Jackson,2020,REG,0,0,0.0,0,0.0,0.0,0.0,1,12.0,0,0.0,14,26,236.0,1,65.0,30.8
34,D.Jackson,2021,REG,0,0,0.0,0,0.0,0.0,0.0,1,4.0,0,0.0,13,21,375.0,2,154.0,47.900000000000006
35,C.Henne,2020,REG,28,38,248.0,2,0.0,2.0,158.0,7,-2.0,1,2.0,0,0,0.0,0,0.0,23.72
36,C.Henne,2021,REG,11,16,82.0,0,0.0,0.0,125.0,3,2.0,0,0.0,0,0,0.0,0,0.0,3.48
37,J.Johnson,2021,REG,29,45,334.0,3,1.0,2.0,339.0,4,18.0,0,0.0,0,0,0.0,0,0.0,27.16
38,M.Stafford,2020,REG,339,528,4084.0,26,10.0,38.0,4609.0,29,112.0,0,0.0,0,1,0.0,0,0.0,260.56
39,M.Stafford,2021,REG,292,438,3611.0,30,9.0,17.0,3790.0,25,39.0,0,0.0,0,0,0.0,0,0.0,252.34
40,C.Daniel,2020,REG,29,43,264.0,1,2.0,3.0,275.0,2,16.0,0,0.0,0,0,0.0,0,0.0,12.16
41,B.Hoyer,2020,REG,15,24,130.0,0,1.0,2.0,196.0,1,8.0,0,0.0,0,0,0.0,0,0.0,2.0
42,B.Hoyer,2021,REG,6,7,164.0,1,0.0,0.0,86.0,9,-9.0,0,0.0,0,0,0.0,0,0.0,9.66
43,L.McCoy,2020,REG,0,0,0.0,0,0.0,0.0,0.0,10,31.0,0,0.0,15,19,101.0,0,102.0,13.200000000000001
44,J.Cook,2020,REG,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,37,60,504.0,7,124.0,90.4
