,season,team,line,over_odds,under_odds
416,2016,ARI,10.0,-170,150
417,2016,ATL,7.0,-130,110
418,2016,BAL,8.5,-110,-110
419,2016,BUF,8.0,130,-150
420,2016,CAR,10.5,120,-140
421,2016,CHI,7.5,145,-165
422,2016,CIN,9.5,100,-120
423,2016,CLE,4.5,-150,130
424,2016,DAL,8.5,110,-130
425,2016,DEN,9.5,130,-150
426,2016,DET,7.0,-150,130
427,2016,GB,10.5,-170,150
428,2016,HOU,8.5,-120,100
429,2016,IND,9.0,120,-140
430,2016,JAX,7.5,-125,105
431,2016,KC,9.5,-140,120
432,2016,LA,7.5,175,-200
433,2016,MIA,7.0,120,-140
434,2016,MIN,8.5,115,-135
435,2016,NE,10.5,-120,100
436,2016,NO,7.0,-140,120
437,2016,NYG,8.5,100,-120
438,2016,NYJ,8.0,150,-170
439,2016,OAK,8.5,-110,-110
440,2016,PHI,6.5,130,-150
441,2016,PIT,10.5,110,-130
442,2016,SD,7.0,-185,165
443,2016,SEA,10.5,-145,125
444,2016,SF,5.5,110,-130
445,2016,TB,7.0,-140,120
446,2016,TEN,6.0,-150,130
447,2016,WAS,7.5,-120,100
448,2017,ARI,8.5,-160,140
449,2017,ATL,9.5,-110,-110
450,2017,BAL,8.5,130,-150
451,2017,BUF,6.5,130,-150
452,2017,CAR,9.0,-120,100
453,2017,CHI,5.5,105,-125
454,2017,CIN,8.5,120,-140
455,2017,CLE,4.5,-180,150
456,2017,DAL,9.5,120,-140
457,2017,DEN,8.0,100,-120
458,2017,DET,7.5,120,-140
459,2017,GB,10.5,120,-140
460,2017,HOU,8.5,100,-120
461,2017,IND,8.0,130,-150
462,2017,JAX,6.5,-125,105
463,2017,KC,9.0,-120,100
464,2017,LAC,7.5,-160,140
465,2017,LA,6.0,140,-160
466,2017,MIA,7.0,-130,110
467,2017,MIN,8.5,-130,110
468,2017,NE,12.5,100,-120
469,2017,NO,8.0,100,-120
470,2017,NYG,9.0,-130,110
471,2017,NYJ,3.5,125,-145
472,2017,OAK,9.5,100,-120
473,2017,PHI,8.5,-120,100
474,2017,PIT,10.5,-150,130
475,2017,SEA,10.5,-130,110
476,2017,SF,5.0,100,-120
477,2017,TB,8.5,-120,100
478,2017,TEN,9.0,-110,-110
479,2017,WAS,7.5,120,-140
