,season,team,line,over_odds,under_odds
128,2007,ARI,7.0,-135,115
129,2007,ATL,7.5,100,-120
130,2007,BAL,9.0,-140,120
131,2007,BUF,6.0,-110,-110
132,2007,CAR,9.0,120,-140
133,2007,CHI,10.0,115,-135
134,2007,CIN,9.0,-130,110
135,2007,CLE,5.5,-160,140
136,2007,DAL,9.0,-125,105
137,2007,DEN,9.5,-105,-115
138,2007,DET,6.0,-110,-110
139,2007,GB,7.5,130,-150
140,2007,HOU,6.5,100,-120
141,2007,IND,10.5,-120,100
142,2007,JAX,9.0,100,-120
143,2007,KC,7.5,100,-120
144,2007,MIA,7.0,-120,100
145,2007,MIN,6.5,-140,120
146,2007,NE,11.5,-110,-110
147,2007,NO,9.0,-110,-110
148,2007,NYG,8.0,-110,-110
149,2007,NYJ,8.0,150,-170
150,2007,OAK,5.0,-120,100
151,2007,PHI,9.0,-140,120
152,2007,PIT,9.0,115,-135
153,2007,SD,10.5,-140,120
154,2007,SEA,9.0,120,-140
155,2007,SF,7.5,-145,125
156,2007,STL,7.5,100,-120
157,2007,TB,7.0,-110,-110
158,2007,TEN,7.0,105,-125
159,2007,WAS,7.5,140,-160
160,2008,ARI,7.5,-135,115
161,2008,ATL,4.5,-150,130
162,2008,BAL,6.0,115,-135
163,2008,BUF,7.5,-150,130
164,2008,CAR,7.5,-140,120
165,2008,CHI,8.0,110,-130
166,2008,CIN,7.0,-125,105
167,2008,CLE,8.0,-150,130
168,2008,DAL,10.5,-135,115
169,2008,DEN,7.5,-145,125
170,2008,DET,6.5,-130,110
171,2008,GB,8.5,140,-160
172,2008,HOU,7.5,100,-120
173,2008,IND,11.0,145,-165
174,2008,JAX,10.0,-105,-115
175,2008,KC,5.5,-175,155
176,2008,MIA,5.5,-110,-110
177,2008,MIN,8.5,100,-120
178,2008,NE,12.0,-165,145
179,2008,NO,8.5,-155,135
180,2008,NYG,8.5,-140,120
181,2008,NYJ,7.5,-110,-110
182,2008,OAK,6.0,-135,115
183,2008,PHI,8.5,-170,150
184,2008,PIT,9.0,-130,110
185,2008,SD,10.5,-135,115
186,2008,SEA,8.5,-150,130
187,2008,SF,6.0,-155,135
188,2008,STL,6.5,-140,120
189,2008,TB,8.0,110,-130
190,2008,TEN,8.0,-110,-110
191,2008,WAS,7.5,-120,100
