,season,team,line,over_odds,under_odds
288,2012,ARI,7.0,133,-170
289,2012,ATL,9.0,-135,105
290,2012,BAL,10.0,150,-190
291,2012,BUF,8.0,-150,120
292,2012,CAR,7.5,-145,115
293,2012,CHI,9.5,-105,-125
294,2012,CIN,8.0,105,-135
295,2012,CLE,5.5,133,-170
296,2012,DAL,8.5,-160,125
297,2012,DEN,8.5,-170,133
298,2012,DET,9.0,105,-135
299,2012,GB,12.0,160,-200
300,2012,HOU,10.0,-190,150
301,2012,IND,5.5,-105,-125
302,2012,JAX,5.5,-110,-120
303,2012,KC,8.0,125,-160
304,2012,MIA,7.0,170,-220
305,2012,MIN,6.0,-115,-115
306,2012,NE,12.0,-115,-115
307,2012,NO,9.5,-125,-105
308,2012,NYG,9.0,-140,110
309,2012,NYJ,8.5,125,-160
310,2012,OAK,7.0,-115,-115
311,2012,PHI,10.0,110,-140
312,2012,PIT,10.0,-125,-105
313,2012,SD,9.0,130,-165
314,2012,SEA,7.5,-130,100
315,2012,SF,10.0,110,-140
316,2012,STL,6.0,-125,-105
317,2012,TB,6.0,-140,110
318,2012,TEN,7.0,-145,115
319,2012,WAS,6.5,115,-145
320,2013,ARI,5.5,-160,125
321,2013,ATL,10.0,100,-130
322,2013,BAL,8.5,-110,-120
323,2013,BUF,6.5,120,-150
324,2013,CAR,7.5,-140,110
325,2013,CHI,8.5,-150,120
326,2013,CIN,8.5,-170,133
327,2013,CLE,6.5,-125,-105
328,2013,DAL,8.5,-115,-115
329,2013,DEN,11.5,-105,-125
330,2013,DET,8.0,-150,120
331,2013,GB,10.5,-105,-125
332,2013,HOU,10.5,125,-160
333,2013,IND,8.5,-110,-120
334,2013,JAX,5.0,-115,-115
335,2013,KC,7.5,-160,-125
336,2013,MIA,8.0,120,-150
337,2013,MIN,7.0,-105,-125
338,2013,NE,11.0,130,-165
339,2013,NO,9.0,-150,120
340,2013,NYG,9.0,130,-165
341,2013,NYJ,6.5,160,-200
342,2013,OAK,5.5,160,-200
343,2013,PHI,7.5,100,-130
344,2013,PIT,9.0,-115,-115
345,2013,SD,7.5,120,-150
346,2013,SEA,10.5,-140,110
347,2013,SF,11.5,150,-190
348,2013,STL,7.5,-120,-110
349,2013,TB,7.5,-145,115
350,2013,TEN,6.5,-115,-115
351,2013,WAS,8.0,-125,-105
