,season,team,line,over_odds,under_odds
192,2009,ARI,8.5,-110,-120
193,2009,ATL,8.5,100,-135
194,2009,BAL,8.5,-150,120
195,2009,BUF,7.5,-120,-110
196,2009,CAR,8.5,110,-140
197,2009,CHI,8.5,-160,130
198,2009,CIN,7.0,-130,-110
199,2009,CLE,7.0,160,-190
200,2009,DAL,9.0,-125,-105
201,2009,DEN,6.5,105,-135
202,2009,DET,4.5,-135,100
203,2009,GB,9.0,-130,100
204,2009,HOU,8.5,110,-140
205,2009,IND,10.0,-115,-115
206,2009,JAX,8.0,-135,105
207,2009,KC,6.0,-125,-105
208,2009,MIA,7.0,-125,-105
209,2009,MIN,9.5,-125,105
210,2009,NE,11.5,-135,105
211,2009,NO,9.0,-120,-110
212,2009,NYG,10.0,-120,-110
213,2009,NYJ,7.0,-130,100
214,2009,OAK,6.0,110,-140
215,2009,PHI,9.5,-145,115
216,2009,PIT,10.5,-125,-105
217,2009,SD,10.0,-140,110
218,2009,SEA,7.5,-175,145
219,2009,SF,7.0,-140,110
220,2009,STL,5.5,-150,120
221,2009,TB,6.5,140,-170
222,2009,TEN,9.0,-105,-125
223,2009,WAS,8.5,120,-150
224,2010,ARI,7.5,-140,110
225,2010,ATL,9.5,-115,-115
226,2010,BAL,10.0,-105,-125
227,2010,BUF,5.0,-125,-105
228,2010,CAR,7.0,115,-145
229,2010,CHI,8.0,105,-135
230,2010,CIN,8.0,-140,110
231,2010,CLE,5.5,-130,100
232,2010,DAL,10.0,-135,105
233,2010,DEN,7.0,-130,100
234,2010,DET,5.0,-155,125
235,2010,GB,9.5,-160,130
236,2010,HOU,8.5,-115,-115
237,2010,IND,10.5,-130,100
238,2010,JAX,7.0,-105,-125
239,2010,KC,6.5,-115,-115
240,2010,MIA,8.5,-125,-105
241,2010,MIN,9.5,-110,-120
242,2010,NE,9.5,-120,-110
243,2010,NO,10.5,100,-130
244,2010,NYG,9.0,-110,-120
245,2010,NYJ,9.5,-125,-105
246,2010,OAK,6.0,-150,120
247,2010,PHI,8.5,110,-140
248,2010,PIT,8.5,-110,-120
249,2010,SD,10.5,-115,-115
250,2010,SEA,7.0,110,-140
251,2010,SF,9.0,-115,-115
252,2010,STL,4.5,-125,-105
253,2010,TB,6.0,100,-130
254,2010,TEN,8.0,-130,100
255,2010,WAS,7.5,100,-130
