,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
4515,2016_01_CAR_DEN,2016,REG,1,2016-09-08,Thursday,20:30,CAR,20.0,DEN,21.0,1.0,41.0,40.5,85.0,Sports Authority Field at Mile High
4516,2016_01_TB_ATL,2016,REG,1,2016-09-11,Sunday,13:00,TB,31.0,ATL,24.0,-7.0,55.0,46.5,,Georgia Dome
4517,2016_01_BUF_BAL,2016,REG,1,2016-09-11,Sunday,13:00,BUF,7.0,BAL,13.0,6.0,20.0,44.5,84.0,M&T Bank Stadium
4518,2016_01_CHI_HOU,2016,REG,1,2016-09-11,Sunday,13:00,CHI,14.0,HOU,23.0,9.0,37.0,43.0,,NRG Stadium
4519,2016_01_GB_JAX,2016,REG,1,2016-09-11,Sunday,13:00,GB,27.0,JAX,23.0,-4.0,50.0,47.0,90.0,EverBank Field
4520,2016_01_SD_KC,2016,REG,1,2016-09-11,Sunday,13:00,SD,27.0,KC,33.0,6.0,60.0,45.5,74.0,Arrowhead Stadium
4521,2016_01_OAK_NO,2016,REG,1,2016-09-11,Sunday,13:00,OAK,35.0,NO,34.0,-1.0,69.0,50.0,,Mercedes-Benz Superdome
4522,2016_01_CIN_NYJ,2016,REG,1,2016-09-11,Sunday,13:00,CIN,23.0,NYJ,22.0,-1.0,45.0,42.0,79.0,MetLife Stadium
4523,2016_01_CLE_PHI,2016,REG,1,2016-09-11,Sunday,13:00,CLE,10.0,PHI,29.0,19.0,39.0,41.0,85.0,Lincoln Financial Field
4524,2016_01_MIN_TEN,2016,REG,1,2016-09-11,Sunday,13:00,MIN,25.0,TEN,16.0,-9.0,41.0,40.0,76.0,Nissan Stadium
4525,2016_01_MIA_SEA,2016,REG,1,2016-09-11,Sunday,16:05,MIA,10.0,SEA,12.0,2.0,22.0,43.5,61.0,CenturyLink Field
4526,2016_01_NYG_DAL,2016,REG,1,2016-09-11,Sunday,16:25,NYG,20.0,DAL,19.0,-1.0,39.0,47.5,,AT&T Stadium
4527,2016_01_DET_IND,2016,REG,1,2016-09-11,Sunday,16:25,DET,39.0,IND,35.0,-4.0,74.0,51.5,,Lucas Oil Stadium
4528,2016_01_NE_ARI,2016,REG,1,2016-09-11,Sunday,20:30,NE,23.0,ARI,21.0,-2.0,44.0,44.5,,University of Phoenix Stadium
4529,2016_01_PIT_WAS,2016,REG,1,2016-09-12,Monday,19:10,PIT,38.0,WAS,16.0,-22.0,54.0,49.0,79.0,FedExField
4530,2016_01_LA_SF,2016,REG,1,2016-09-12,Monday,22:20,LA,0.0,SF,28.0,28.0,28.0,44.0,66.0,Levi's Stadium
4531,2016_02_NYJ_BUF,2016,REG,2,2016-09-15,Thursday,20:25,NYJ,37.0,BUF,31.0,-6.0,68.0,40.5,60.0,New Era Field
4532,2016_02_TB_ARI,2016,REG,2,2016-09-18,Sunday,13:00,TB,7.0,ARI,40.0,33.0,47.0,49.5,,University of Phoenix Stadium
4533,2016_02_SF_CAR,2016,REG,2,2016-09-18,Sunday,13:00,SF,27.0,CAR,46.0,19.0,73.0,44.5,82.0,Bank of America Stadium
4534,2016_02_BAL_CLE,2016,REG,2,2016-09-18,Sunday,13:00,BAL,25.0,CLE,20.0,-5.0,45.0,42.0,74.0,FirstEnergy Stadium
4535,2016_02_TEN_DET,2016,REG,2,2016-09-18,Sunday,13:00,TEN,16.0,DET,15.0,-1.0,31.0,48.0,,Ford Field
4536,2016_02_KC_HOU,2016,REG,2,2016-09-18,Sunday,13:00,KC,12.0,HOU,19.0,7.0,31.0,41.5,,NRG Stadium
4537,2016_02_MIA_NE,2016,REG,2,2016-09-18,Sunday,13:00,MIA,24.0,NE,31.0,7.0,55.0,42.0,79.0,Gillette Stadium
4538,2016_02_NO_NYG,2016,REG,2,2016-09-18,Sunday,13:00,NO,13.0,NYG,16.0,3.0,29.0,54.0,80.0,MetLife Stadium
4539,2016_02_CIN_PIT,2016,REG,2,2016-09-18,Sunday,13:00,CIN,16.0,PIT,24.0,8.0,40.0,48.0,72.0,Heinz Field
4540,2016_02_DAL_WAS,2016,REG,2,2016-09-18,Sunday,13:00,DAL,27.0,WAS,23.0,-4.0,50.0,47.0,81.0,FedExField
4541,2016_02_SEA_LA,2016,REG,2,2016-09-18,Sunday,16:05,SEA,3.0,LA,9.0,6.0,12.0,38.0,88.0,Los Angeles Memorial Coliseum
4542,2016_02_IND_DEN,2016,REG,2,2016-09-18,Sunday,16:25,IND,20.0,DEN,34.0,14.0,54.0,47.0,85.0,Sports Authority Field at Mile High
4543,2016_02_ATL_OAK,2016,REG,2,2016-09-18,Sunday,16:25,ATL,35.0,OAK,28.0,-7.0,63.0,47.5,79.0,Oakland-Alameda County Coliseum
4544,2016_02_JAX_SD,2016,REG,2,2016-09-18,Sunday,16:25,JAX,14.0,SD,38.0,24.0,52.0,47.5,82.0,Qualcomm Stadium
4545,2016_02_GB_MIN,2016,REG,2,2016-09-18,Sunday,20:30,GB,14.0,MIN,17.0,3.0,31.0,43.0,,U.S. Bank Stadium
4546,2016_02_PHI_CHI,2016,REG,2,2016-09-19,Monday,20:30,PHI,29.0,CHI,14.0,-15.0,43.0,42.5,84.0,Soldier Field
4547,2016_03_HOU_NE,2016,REG,3,2016-09-22,Thursday,20:25,HOU,0.0,NE,27.0,27.0,27.0,38.5,68.0,Gillette Stadium
