,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
3447,2012_01_DAL_NYG,2012,REG,1,2012-09-05,Wednesday,20:30,DAL,24.0,NYG,17.0,-7.0,41.0,45.5,77.0,MetLife Stadium
3448,2012_01_IND_CHI,2012,REG,1,2012-09-09,Sunday,13:00,IND,21.0,CHI,41.0,20.0,62.0,41.5,67.0,Soldier Field
3449,2012_01_PHI_CLE,2012,REG,1,2012-09-09,Sunday,13:00,PHI,17.0,CLE,16.0,-1.0,33.0,42.0,68.0,Cleveland Browns Stadium
3450,2012_01_STL_DET,2012,REG,1,2012-09-09,Sunday,13:00,STL,23.0,DET,27.0,4.0,50.0,46.0,,Ford Field
3451,2012_01_MIA_HOU,2012,REG,1,2012-09-09,Sunday,13:00,MIA,10.0,HOU,30.0,20.0,40.0,41.5,,Reliant Stadium
3452,2012_01_ATL_KC,2012,REG,1,2012-09-09,Sunday,13:00,ATL,40.0,KC,24.0,-16.0,64.0,43.0,69.0,Arrowhead Stadium
3453,2012_01_JAX_MIN,2012,REG,1,2012-09-09,Sunday,13:00,JAX,23.0,MIN,26.0,3.0,49.0,38.0,,Mall of America Field
3454,2012_01_WAS_NO,2012,REG,1,2012-09-09,Sunday,13:00,WAS,40.0,NO,32.0,-8.0,72.0,50.0,,Mercedes-Benz Superdome
3455,2012_01_BUF_NYJ,2012,REG,1,2012-09-09,Sunday,13:00,BUF,28.0,NYJ,48.0,20.0,76.0,39.5,74.0,MetLife Stadium
3456,2012_01_NE_TEN,2012,REG,1,2012-09-09,Sunday,13:00,NE,34.0,TEN,13.0,-21.0,47.0,48.0,74.0,LP Field
3457,2012_01_SEA_ARI,2012,REG,1,2012-09-09,Sunday,16:25,SEA,16.0,ARI,20.0,4.0,36.0,40.5,,University of Phoenix Stadium
3458,2012_01_SF_GB,2012,REG,1,2012-09-09,Sunday,16:25,SF,30.0,GB,22.0,-8.0,52.0,46.5,72.0,Lambeau Field
3459,2012_01_CAR_TB,2012,REG,1,2012-09-09,Sunday,16:25,CAR,10.0,TB,16.0,6.0,26.0,45.5,83.0,Raymond James Stadium
3460,2012_01_PIT_DEN,2012,REG,1,2012-09-09,Sunday,20:20,PIT,19.0,DEN,31.0,12.0,50.0,45.5,85.0,Sports Authority Field at Mile High
3461,2012_01_CIN_BAL,2012,REG,1,2012-09-10,Monday,19:00,CIN,13.0,BAL,44.0,31.0,57.0,42.5,74.0,M&T Bank Stadium
3462,2012_01_SD_OAK,2012,REG,1,2012-09-10,Monday,22:15,SD,22.0,OAK,14.0,-8.0,36.0,47.5,67.0,O.co Coliseum
3463,2012_02_CHI_GB,2012,REG,2,2012-09-13,Thursday,20:20,CHI,10.0,GB,23.0,13.0,33.0,50.5,60.0,Lambeau Field
3464,2012_02_KC_BUF,2012,REG,2,2012-09-16,Sunday,13:00,KC,17.0,BUF,35.0,18.0,52.0,45.0,66.0,Ralph Wilson Stadium
3465,2012_02_NO_CAR,2012,REG,2,2012-09-16,Sunday,13:00,NO,27.0,CAR,35.0,8.0,62.0,53.0,71.0,Bank of America Stadium
3466,2012_02_CLE_CIN,2012,REG,2,2012-09-16,Sunday,13:00,CLE,27.0,CIN,34.0,7.0,61.0,39.5,76.0,Paul Brown Stadium
3467,2012_02_MIN_IND,2012,REG,2,2012-09-16,Sunday,13:00,MIN,20.0,IND,23.0,3.0,43.0,45.5,,Lucas Oil Stadium
3468,2012_02_HOU_JAX,2012,REG,2,2012-09-16,Sunday,13:00,HOU,27.0,JAX,7.0,-20.0,34.0,40.0,83.0,EverBank Field
3469,2012_02_OAK_MIA,2012,REG,2,2012-09-16,Sunday,13:00,OAK,13.0,MIA,35.0,22.0,48.0,41.0,80.0,Sun Life Stadium
3470,2012_02_ARI_NE,2012,REG,2,2012-09-16,Sunday,13:00,ARI,20.0,NE,18.0,-2.0,38.0,47.0,64.0,Gillette Stadium
3471,2012_02_TB_NYG,2012,REG,2,2012-09-16,Sunday,13:00,TB,34.0,NYG,41.0,7.0,75.0,43.5,73.0,MetLife Stadium
3472,2012_02_BAL_PHI,2012,REG,2,2012-09-16,Sunday,13:00,BAL,23.0,PHI,24.0,1.0,47.0,46.5,72.0,Lincoln Financial Field
3473,2012_02_DAL_SEA,2012,REG,2,2012-09-16,Sunday,16:05,DAL,7.0,SEA,27.0,20.0,34.0,43.0,68.0,CenturyLink Field
3474,2012_02_WAS_STL,2012,REG,2,2012-09-16,Sunday,16:05,WAS,28.0,STL,31.0,3.0,59.0,42.5,,Edward Jones Dome
3475,2012_02_NYJ_PIT,2012,REG,2,2012-09-16,Sunday,16:25,NYJ,10.0,PIT,27.0,17.0,37.0,43.0,71.0,Heinz Field
3476,2012_02_TEN_SD,2012,REG,2,2012-09-16,Sunday,16:25,TEN,10.0,SD,38.0,28.0,48.0,43.5,85.0,Qualcomm Stadium
3477,2012_02_DET_SF,2012,REG,2,2012-09-16,Sunday,20:20,DET,19.0,SF,27.0,8.0,46.0,46.0,62.0,Candlestick Park
