,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
5316,2019_01_GB_CHI,2019,REG,1,2019-09-05,Thursday,20:20,GB,10.0,CHI,3.0,-7.0,13.0,47.0,65.0,Soldier Field
5317,2019_01_LA_CAR,2019,REG,1,2019-09-08,Sunday,13:00,LA,30.0,CAR,27.0,-3.0,57.0,49.5,87.0,Bank of America Stadium
5318,2019_01_TEN_CLE,2019,REG,1,2019-09-08,Sunday,13:00,TEN,43.0,CLE,13.0,-30.0,56.0,44.0,71.0,FirstEnergy Stadium
5319,2019_01_KC_JAX,2019,REG,1,2019-09-08,Sunday,13:00,KC,40.0,JAX,26.0,-14.0,66.0,49.0,91.0,TIAA Bank Stadium
5320,2019_01_BAL_MIA,2019,REG,1,2019-09-08,Sunday,13:00,BAL,59.0,MIA,10.0,-49.0,69.0,41.0,91.0,Hard Rock Stadium
5321,2019_01_ATL_MIN,2019,REG,1,2019-09-08,Sunday,13:00,ATL,12.0,MIN,28.0,16.0,40.0,47.0,,U.S. Bank Stadium
5322,2019_01_BUF_NYJ,2019,REG,1,2019-09-08,Sunday,13:00,BUF,17.0,NYJ,16.0,-1.0,33.0,41.0,77.0,MetLife Stadium
5323,2019_01_WAS_PHI,2019,REG,1,2019-09-08,Sunday,13:00,WAS,27.0,PHI,32.0,5.0,59.0,44.0,79.0,Lincoln Financial Field
5324,2019_01_IND_LAC,2019,REG,1,2019-09-08,Sunday,16:05,IND,24.0,LAC,30.0,6.0,54.0,44.5,77.0,StubHub Center
5325,2019_01_CIN_SEA,2019,REG,1,2019-09-08,Sunday,16:05,CIN,20.0,SEA,21.0,1.0,41.0,44.0,64.0,CenturyLink Field
5326,2019_01_DET_ARI,2019,REG,1,2019-09-08,Sunday,16:25,DET,27.0,ARI,27.0,0.0,54.0,45.5,,State Farm Stadium
5327,2019_01_NYG_DAL,2019,REG,1,2019-09-08,Sunday,16:25,NYG,17.0,DAL,35.0,18.0,52.0,44.0,,AT&T Stadium
5328,2019_01_SF_TB,2019,REG,1,2019-09-08,Sunday,16:25,SF,31.0,TB,17.0,-14.0,48.0,51.0,93.0,Raymond James Stadium
5329,2019_01_PIT_NE,2019,REG,1,2019-09-08,Sunday,20:20,PIT,3.0,NE,33.0,30.0,36.0,49.0,66.0,Gillette Stadium
5330,2019_01_HOU_NO,2019,REG,1,2019-09-09,Monday,19:10,HOU,28.0,NO,30.0,2.0,58.0,52.0,,Mercedes-Benz Superdome
5331,2019_01_DEN_OAK,2019,REG,1,2019-09-09,Monday,22:20,DEN,16.0,OAK,24.0,8.0,40.0,42.5,68.0,Ring Central Coliseum
5332,2019_02_TB_CAR,2019,REG,2,2019-09-12,Thursday,20:20,TB,20.0,CAR,14.0,-6.0,34.0,48.0,85.0,Bank of America Stadium
5333,2019_02_ARI_BAL,2019,REG,2,2019-09-15,Sunday,13:00,ARI,17.0,BAL,23.0,6.0,40.0,46.0,82.0,M&T Bank Stadium
5334,2019_02_SF_CIN,2019,REG,2,2019-09-15,Sunday,13:00,SF,41.0,CIN,17.0,-24.0,58.0,46.0,81.0,Paul Brown Stadium
5335,2019_02_LAC_DET,2019,REG,2,2019-09-15,Sunday,13:00,LAC,10.0,DET,13.0,3.0,23.0,47.0,,Ford Field
5336,2019_02_MIN_GB,2019,REG,2,2019-09-15,Sunday,13:00,MIN,16.0,GB,21.0,5.0,37.0,43.0,72.0,Lambeau Field
5337,2019_02_JAX_HOU,2019,REG,2,2019-09-15,Sunday,13:00,JAX,12.0,HOU,13.0,1.0,25.0,43.0,,NRG Stadium
5338,2019_02_NE_MIA,2019,REG,2,2019-09-15,Sunday,13:00,NE,43.0,MIA,0.0,-43.0,43.0,48.5,87.0,Hard Rock Stadium
5339,2019_02_BUF_NYG,2019,REG,2,2019-09-15,Sunday,13:00,BUF,28.0,NYG,14.0,-14.0,42.0,44.5,79.0,MetLife Stadium
5340,2019_02_SEA_PIT,2019,REG,2,2019-09-15,Sunday,13:00,SEA,28.0,PIT,26.0,-2.0,54.0,47.0,81.0,Heinz Field
5341,2019_02_IND_TEN,2019,REG,2,2019-09-15,Sunday,13:00,IND,19.0,TEN,17.0,-2.0,36.0,43.5,93.0,Nissan Stadium
5342,2019_02_DAL_WAS,2019,REG,2,2019-09-15,Sunday,13:00,DAL,31.0,WAS,21.0,-10.0,52.0,46.5,80.0,FedExField
5343,2019_02_KC_OAK,2019,REG,2,2019-09-15,Sunday,16:05,KC,28.0,OAK,10.0,-18.0,38.0,53.5,70.0,Ring Central Coliseum
5344,2019_02_CHI_DEN,2019,REG,2,2019-09-15,Sunday,16:25,CHI,16.0,DEN,14.0,-2.0,30.0,41.0,87.0,Empower Field at Mile High
5345,2019_02_NO_LA,2019,REG,2,2019-09-15,Sunday,16:25,NO,9.0,LA,27.0,18.0,36.0,52.5,85.0,Los Angeles Memorial Coliseum
5346,2019_02_PHI_ATL,2019,REG,2,2019-09-15,Sunday,20:20,PHI,20.0,ATL,24.0,4.0,44.0,53.0,,Mercedes-Benz Stadium
5347,2019_02_CLE_NYJ,2019,REG,2,2019-09-16,Monday,20:15,CLE,23.0,NYJ,3.0,-20.0,26.0,45.5,72.0,MetLife Stadium
5348,2019_03_TEN_JAX,2019,REG,3,2019-09-19,Thursday,20:20,TEN,7.0,JAX,20.0,13.0,27.0,38.0,73.0,TIAA Bank Stadium
5349,2019_03_CIN_BUF,2019,REG,3,2019-09-22,Sunday,13:00,CIN,17.0,BUF,21.0,4.0,38.0,43.5,83.0,New Era Field
5350,2019_03_MIA_DAL,2019,REG,3,2019-09-22,Sunday,13:00,MIA,6.0,DAL,31.0,25.0,37.0,46.5,,AT&T Stadium
5351,2019_03_DEN_GB,2019,REG,3,2019-09-22,Sunday,13:00,DEN,16.0,GB,27.0,11.0,43.0,42.0,69.0,Lambeau Field
5352,2019_03_ATL_IND,2019,REG,3,2019-09-22,Sunday,13:00,ATL,24.0,IND,27.0,3.0,51.0,48.0,,Lucas Oil Stadium
5353,2019_03_BAL_KC,2019,REG,3,2019-09-22,Sunday,13:00,BAL,28.0,KC,33.0,5.0,61.0,52.0,,Arrowhead Stadium
5354,2019_03_OAK_MIN,2019,REG,3,2019-09-22,Sunday,13:00,OAK,14.0,MIN,34.0,20.0,48.0,43.0,,U.S. Bank Stadium
5355,2019_03_NYJ_NE,2019,REG,3,2019-09-22,Sunday,13:00,NYJ,14.0,NE,30.0,16.0,44.0,43.0,81.0,Gillette Stadium
5356,2019_03_DET_PHI,2019,REG,3,2019-09-22,Sunday,13:00,DET,27.0,PHI,24.0,-3.0,51.0,45.0,84.0,Lincoln Financial Field
5357,2019_03_CAR_ARI,2019,REG,3,2019-09-22,Sunday,16:05,CAR,38.0,ARI,20.0,-18.0,58.0,46.0,,State Farm Stadium
5358,2019_03_NYG_TB,2019,REG,3,2019-09-22,Sunday,16:05,NYG,32.0,TB,31.0,-1.0,63.0,48.0,88.0,Raymond James Stadium
5359,2019_03_HOU_LAC,2019,REG,3,2019-09-22,Sunday,16:25,HOU,27.0,LAC,20.0,-7.0,47.0,49.0,87.0,StubHub Center
5360,2019_03_NO_SEA,2019,REG,3,2019-09-22,Sunday,16:25,NO,33.0,SEA,27.0,-6.0,60.0,44.0,63.0,CenturyLink Field
5361,2019_03_PIT_SF,2019,REG,3,2019-09-22,Sunday,16:25,PIT,20.0,SF,24.0,4.0,44.0,44.5,79.0,Levi's Stadium
5362,2019_03_LA_CLE,2019,REG,3,2019-09-22,Sunday,20:20,LA,20.0,CLE,13.0,-7.0,33.0,48.0,83.0,FirstEnergy Stadium
5363,2019_03_CHI_WAS,2019,REG,3,2019-09-23,Monday,20:15,CHI,31.0,WAS,15.0,-16.0,46.0,41.0,87.0,FedExField
5364,2019_04_PHI_GB,2019,REG,4,2019-09-26,Thursday,20:20,PHI,34.0,GB,27.0,-7.0,61.0,46.0,60.0,Lambeau Field
5365,2019_04_TEN_ATL,2019,REG,4,2019-09-29,Sunday,13:00,TEN,24.0,ATL,10.0,-14.0,34.0,46.0,,Mercedes-Benz Stadium
5366,2019_04_CLE_BAL,2019,REG,4,2019-09-29,Sunday,13:00,CLE,40.0,BAL,25.0,-15.0,65.0,47.0,83.0,M&T Bank Stadium
5367,2019_04_NE_BUF,2019,REG,4,2019-09-29,Sunday,13:00,NE,16.0,BUF,10.0,-6.0,26.0,41.5,58.0,New Era Field
5368,2019_04_KC_DET,2019,REG,4,2019-09-29,Sunday,13:00,KC,34.0,DET,30.0,-4.0,64.0,54.5,,Ford Field
5369,2019_04_CAR_HOU,2019,REG,4,2019-09-29,Sunday,13:00,CAR,16.0,HOU,10.0,-6.0,26.0,47.5,,NRG Stadium
5370,2019_04_OAK_IND,2019,REG,4,2019-09-29,Sunday,13:00,OAK,31.0,IND,24.0,-7.0,55.0,46.0,,Lucas Oil Stadium
5371,2019_04_LAC_MIA,2019,REG,4,2019-09-29,Sunday,13:00,LAC,30.0,MIA,10.0,-20.0,40.0,43.5,88.0,Hard Rock Stadium
5372,2019_04_WAS_NYG,2019,REG,4,2019-09-29,Sunday,13:00,WAS,3.0,NYG,24.0,21.0,27.0,48.0,77.0,MetLife Stadium
5373,2019_04_SEA_ARI,2019,REG,4,2019-09-29,Sunday,16:05,SEA,27.0,ARI,10.0,-17.0,37.0,49.0,,State Farm Stadium
5374,2019_04_TB_LA,2019,REG,4,2019-09-29,Sunday,16:05,TB,55.0,LA,40.0,-15.0,95.0,48.5,74.0,Los Angeles Memorial Coliseum
5375,2019_04_MIN_CHI,2019,REG,4,2019-09-29,Sunday,16:25,MIN,6.0,CHI,16.0,10.0,22.0,38.0,67.0,Soldier Field
5376,2019_04_JAX_DEN,2019,REG,4,2019-09-29,Sunday,16:25,JAX,26.0,DEN,24.0,-2.0,50.0,37.0,87.0,Empower Field at Mile High
5377,2019_04_DAL_NO,2019,REG,4,2019-09-29,Sunday,20:20,DAL,10.0,NO,12.0,2.0,22.0,47.0,,Mercedes-Benz Superdome
5378,2019_04_CIN_PIT,2019,REG,4,2019-09-30,Monday,20:15,CIN,3.0,PIT,27.0,24.0,30.0,45.5,76.0,Heinz Field
5379,2019_05_LA_SEA,2019,REG,5,2019-10-03,Thursday,20:20,LA,29.0,SEA,30.0,1.0,59.0,49.0,57.0,CenturyLink Field
