,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
2112,2007_01_NO_IND,2007,REG,1,2007-09-06,Thursday,20:30,NO,10.0,IND,41.0,31.0,51.0,52.5,,RCA Dome
2113,2007_01_DEN_BUF,2007,REG,1,2007-09-09,Sunday,13:00,DEN,15.0,BUF,14.0,-1.0,29.0,38.0,70.0,Ralph Wilson Stadium
2114,2007_01_PIT_CLE,2007,REG,1,2007-09-09,Sunday,13:00,PIT,34.0,CLE,7.0,-27.0,41.0,36.5,71.0,Cleveland Browns Stadium
2115,2007_01_PHI_GB,2007,REG,1,2007-09-09,Sunday,13:00,PHI,13.0,GB,16.0,3.0,29.0,41.5,62.0,Lambeau Field
2116,2007_01_KC_HOU,2007,REG,1,2007-09-09,Sunday,13:00,KC,3.0,HOU,20.0,17.0,23.0,37.5,,Reliant Stadium
2117,2007_01_TEN_JAX,2007,REG,1,2007-09-09,Sunday,13:00,TEN,13.0,JAX,10.0,-3.0,23.0,39.5,86.0,Jacksonville Municipal Stadium
2118,2007_01_ATL_MIN,2007,REG,1,2007-09-09,Sunday,13:00,ATL,3.0,MIN,24.0,21.0,27.0,34.5,,Hubert H. Humphrey Metrodome
2119,2007_01_NE_NYJ,2007,REG,1,2007-09-09,Sunday,13:00,NE,38.0,NYJ,14.0,-24.0,52.0,41.5,84.0,Giants Stadium
2120,2007_01_CAR_STL,2007,REG,1,2007-09-09,Sunday,13:00,CAR,27.0,STL,13.0,-14.0,40.0,43.0,,Edward Jones Dome
2121,2007_01_MIA_WAS,2007,REG,1,2007-09-09,Sunday,13:00,MIA,13.0,WAS,16.0,3.0,29.0,34.0,82.0,FedExField
2122,2007_01_DET_OAK,2007,REG,1,2007-09-09,Sunday,16:15,DET,36.0,OAK,21.0,-15.0,57.0,39.5,66.0,McAfee Coliseum
2123,2007_01_CHI_SD,2007,REG,1,2007-09-09,Sunday,16:15,CHI,3.0,SD,14.0,11.0,17.0,43.0,73.0,Qualcomm Stadium
2124,2007_01_TB_SEA,2007,REG,1,2007-09-09,Sunday,16:15,TB,6.0,SEA,20.0,14.0,26.0,40.5,67.0,Qwest Field
2125,2007_01_NYG_DAL,2007,REG,1,2007-09-09,Sunday,20:25,NYG,35.0,DAL,45.0,10.0,80.0,44.0,78.0,Texas Stadium
2126,2007_01_BAL_CIN,2007,REG,1,2007-09-10,Monday,19:10,BAL,20.0,CIN,27.0,7.0,47.0,39.5,82.0,Paul Brown Stadium
2127,2007_01_ARI_SF,2007,REG,1,2007-09-10,Monday,22:25,ARI,17.0,SF,20.0,3.0,37.0,47.0,64.0,Monster Park
2128,2007_02_HOU_CAR,2007,REG,2,2007-09-16,Sunday,13:00,HOU,34.0,CAR,21.0,-13.0,55.0,38.0,74.0,Bank of America Stadium
2129,2007_02_CIN_CLE,2007,REG,2,2007-09-16,Sunday,13:00,CIN,45.0,CLE,51.0,6.0,96.0,41.5,59.0,Cleveland Browns Stadium
2130,2007_02_ATL_JAX,2007,REG,2,2007-09-16,Sunday,13:00,ATL,7.0,JAX,13.0,6.0,20.0,34.5,88.0,Jacksonville Municipal Stadium
2131,2007_02_GB_NYG,2007,REG,2,2007-09-16,Sunday,13:00,GB,35.0,NYG,13.0,-22.0,48.0,40.0,64.0,Giants Stadium
2132,2007_02_BUF_PIT,2007,REG,2,2007-09-16,Sunday,13:00,BUF,3.0,PIT,26.0,23.0,29.0,39.5,59.0,Heinz Field
2133,2007_02_SF_STL,2007,REG,2,2007-09-16,Sunday,13:00,SF,17.0,STL,16.0,-1.0,33.0,44.0,,Edward Jones Dome
2134,2007_02_NO_TB,2007,REG,2,2007-09-16,Sunday,13:00,NO,14.0,TB,31.0,17.0,45.0,41.5,88.0,Raymond James Stadium
2135,2007_02_IND_TEN,2007,REG,2,2007-09-16,Sunday,13:00,IND,22.0,TEN,20.0,-2.0,42.0,45.0,67.0,LP Field
2136,2007_02_SEA_ARI,2007,REG,2,2007-09-16,Sunday,16:05,SEA,20.0,ARI,23.0,3.0,43.0,42.5,,University of Phoenix Stadium
2137,2007_02_MIN_DET,2007,REG,2,2007-09-16,Sunday,16:05,MIN,17.0,DET,20.0,3.0,37.0,42.5,,Ford Field
2138,2007_02_DAL_MIA,2007,REG,2,2007-09-16,Sunday,16:05,DAL,37.0,MIA,20.0,-17.0,57.0,39.5,89.0,Dolphin Stadium
2139,2007_02_NYJ_BAL,2007,REG,2,2007-09-16,Sunday,16:15,NYJ,13.0,BAL,20.0,7.0,33.0,33.0,69.0,M&T Bank Stadium
2140,2007_02_KC_CHI,2007,REG,2,2007-09-16,Sunday,16:15,KC,10.0,CHI,20.0,10.0,30.0,35.0,70.0,Soldier Field
2141,2007_02_OAK_DEN,2007,REG,2,2007-09-16,Sunday,16:15,OAK,20.0,DEN,23.0,3.0,43.0,37.0,87.0,Invesco Field at Mile High
2142,2007_02_SD_NE,2007,REG,2,2007-09-16,Sunday,20:25,SD,14.0,NE,38.0,24.0,52.0,46.0,55.0,Gillette Stadium
2143,2007_02_WAS_PHI,2007,REG,2,2007-09-17,Monday,20:40,WAS,20.0,PHI,12.0,-8.0,32.0,39.0,62.0,Lincoln Financial Field
2144,2007_03_ARI_BAL,2007,REG,3,2007-09-23,Sunday,13:00,ARI,23.0,BAL,26.0,3.0,49.0,35.5,75.0,M&T Bank Stadium
2145,2007_03_SD_GB,2007,REG,3,2007-09-23,Sunday,13:00,SD,24.0,GB,31.0,7.0,55.0,42.5,73.0,Lambeau Field
2146,2007_03_IND_HOU,2007,REG,3,2007-09-23,Sunday,13:00,IND,30.0,HOU,24.0,-6.0,54.0,46.0,,Reliant Stadium
2147,2007_03_MIN_KC,2007,REG,3,2007-09-23,Sunday,13:00,MIN,10.0,KC,13.0,3.0,23.0,34.0,83.0,Arrowhead Stadium
2148,2007_03_BUF_NE,2007,REG,3,2007-09-23,Sunday,13:00,BUF,7.0,NE,38.0,31.0,45.0,41.0,74.0,Gillette Stadium
2149,2007_03_MIA_NYJ,2007,REG,3,2007-09-23,Sunday,13:00,MIA,28.0,NYJ,31.0,3.0,59.0,36.5,72.0,Giants Stadium
2150,2007_03_DET_PHI,2007,REG,3,2007-09-23,Sunday,13:00,DET,21.0,PHI,56.0,35.0,77.0,44.5,76.0,Lincoln Financial Field
2151,2007_03_SF_PIT,2007,REG,3,2007-09-23,Sunday,13:00,SF,16.0,PIT,37.0,21.0,53.0,37.5,72.0,Heinz Field
2152,2007_03_STL_TB,2007,REG,3,2007-09-23,Sunday,13:00,STL,3.0,TB,24.0,21.0,27.0,38.5,86.0,Raymond James Stadium
2153,2007_03_JAX_DEN,2007,REG,3,2007-09-23,Sunday,16:05,JAX,23.0,DEN,14.0,-9.0,37.0,36.0,75.0,Invesco Field at Mile High
2154,2007_03_CLE_OAK,2007,REG,3,2007-09-23,Sunday,16:05,CLE,24.0,OAK,26.0,2.0,50.0,41.5,67.0,McAfee Coliseum
2155,2007_03_CIN_SEA,2007,REG,3,2007-09-23,Sunday,16:05,CIN,21.0,SEA,24.0,3.0,45.0,49.5,54.0,Qwest Field
2156,2007_03_CAR_ATL,2007,REG,3,2007-09-23,Sunday,16:15,CAR,27.0,ATL,20.0,-7.0,47.0,38.0,,Georgia Dome
2157,2007_03_NYG_WAS,2007,REG,3,2007-09-23,Sunday,16:15,NYG,24.0,WAS,17.0,-7.0,41.0,41.5,82.0,FedExField
2158,2007_03_DAL_CHI,2007,REG,3,2007-09-23,Sunday,20:25,DAL,34.0,CHI,10.0,-24.0,44.0,41.0,79.0,Soldier Field
2159,2007_03_TEN_NO,2007,REG,3,2007-09-24,Monday,20:40,TEN,31.0,NO,14.0,-17.0,45.0,46.0,,Louisiana Superdome
2160,2007_04_HOU_ATL,2007,REG,4,2007-09-30,Sunday,13:00,HOU,16.0,ATL,26.0,10.0,42.0,39.0,,Georgia Dome
2161,2007_04_NYJ_BUF,2007,REG,4,2007-09-30,Sunday,13:00,NYJ,14.0,BUF,17.0,3.0,31.0,37.5,70.0,Ralph Wilson Stadium
2162,2007_04_BAL_CLE,2007,REG,4,2007-09-30,Sunday,13:00,BAL,13.0,CLE,27.0,14.0,40.0,40.0,77.0,Cleveland Browns Stadium
2163,2007_04_STL_DAL,2007,REG,4,2007-09-30,Sunday,13:00,STL,7.0,DAL,35.0,28.0,42.0,47.0,85.0,Texas Stadium
2164,2007_04_CHI_DET,2007,REG,4,2007-09-30,Sunday,13:00,CHI,27.0,DET,37.0,10.0,64.0,46.0,,Ford Field
2165,2007_04_OAK_MIA,2007,REG,4,2007-09-30,Sunday,13:00,OAK,35.0,MIA,17.0,-18.0,52.0,40.0,82.0,Dolphin Stadium
2166,2007_04_GB_MIN,2007,REG,4,2007-09-30,Sunday,13:00,GB,23.0,MIN,16.0,-7.0,39.0,38.0,,Hubert H. Humphrey Metrodome
2167,2007_04_TB_CAR,2007,REG,4,2007-09-30,Sunday,16:05,TB,20.0,CAR,7.0,-13.0,27.0,39.0,78.0,Bank of America Stadium
2168,2007_04_SEA_SF,2007,REG,4,2007-09-30,Sunday,16:05,SEA,23.0,SF,3.0,-20.0,26.0,40.5,65.0,Monster Park
2169,2007_04_PIT_ARI,2007,REG,4,2007-09-30,Sunday,16:15,PIT,14.0,ARI,21.0,7.0,35.0,42.5,,University of Phoenix Stadium
2170,2007_04_DEN_IND,2007,REG,4,2007-09-30,Sunday,16:15,DEN,20.0,IND,38.0,18.0,58.0,46.0,,RCA Dome
2171,2007_04_KC_SD,2007,REG,4,2007-09-30,Sunday,16:15,KC,30.0,SD,16.0,-14.0,46.0,38.5,76.0,Qualcomm Stadium
2172,2007_04_PHI_NYG,2007,REG,4,2007-09-30,Sunday,20:25,PHI,3.0,NYG,16.0,13.0,19.0,47.5,67.0,Giants Stadium
2173,2007_04_NE_CIN,2007,REG,4,2007-10-01,Monday,20:40,NE,34.0,CIN,13.0,-21.0,47.0,54.0,72.0,Paul Brown Stadium
2174,2007_05_MIA_HOU,2007,REG,5,2007-10-07,Sunday,13:00,MIA,19.0,HOU,22.0,3.0,41.0,43.5,,Reliant Stadium
2175,2007_05_JAX_KC,2007,REG,5,2007-10-07,Sunday,13:00,JAX,17.0,KC,7.0,-10.0,24.0,36.0,78.0,Arrowhead Stadium
2176,2007_05_CLE_NE,2007,REG,5,2007-10-07,Sunday,13:00,CLE,17.0,NE,34.0,17.0,51.0,48.0,56.0,Gillette Stadium
2177,2007_05_CAR_NO,2007,REG,5,2007-10-07,Sunday,13:00,CAR,16.0,NO,13.0,-3.0,29.0,43.0,,Louisiana Superdome
2178,2007_05_NYJ_NYG,2007,REG,5,2007-10-07,Sunday,13:00,NYJ,24.0,NYG,35.0,11.0,59.0,41.0,81.0,Giants Stadium
2179,2007_05_SEA_PIT,2007,REG,5,2007-10-07,Sunday,13:00,SEA,0.0,PIT,21.0,21.0,21.0,41.0,80.0,Heinz Field
2180,2007_05_ARI_STL,2007,REG,5,2007-10-07,Sunday,13:00,ARI,34.0,STL,31.0,-3.0,65.0,40.0,,Edward Jones Dome
2181,2007_05_ATL_TEN,2007,REG,5,2007-10-07,Sunday,13:00,ATL,13.0,TEN,20.0,7.0,33.0,41.0,84.0,LP Field
2182,2007_05_DET_WAS,2007,REG,5,2007-10-07,Sunday,13:00,DET,3.0,WAS,34.0,31.0,37.0,44.5,88.0,FedExField
2183,2007_05_TB_IND,2007,REG,5,2007-10-07,Sunday,16:05,TB,14.0,IND,33.0,19.0,47.0,44.5,,RCA Dome
2184,2007_05_SD_DEN,2007,REG,5,2007-10-07,Sunday,16:15,SD,41.0,DEN,3.0,-38.0,44.0,43.0,54.0,Invesco Field at Mile High
2185,2007_05_BAL_SF,2007,REG,5,2007-10-07,Sunday,16:15,BAL,9.0,SF,7.0,-2.0,16.0,35.0,63.0,Monster Park
2186,2007_05_CHI_GB,2007,REG,5,2007-10-07,Sunday,20:25,CHI,27.0,GB,20.0,-7.0,47.0,40.5,79.0,Lambeau Field
2187,2007_05_DAL_BUF,2007,REG,5,2007-10-08,Monday,20:40,DAL,25.0,BUF,24.0,-1.0,49.0,45.0,73.0,Ralph Wilson Stadium
2188,2007_06_STL_BAL,2007,REG,6,2007-10-14,Sunday,13:00,STL,3.0,BAL,22.0,19.0,25.0,36.5,68.0,M&T Bank Stadium
2189,2007_06_MIN_CHI,2007,REG,6,2007-10-14,Sunday,13:00,MIN,34.0,CHI,31.0,-3.0,65.0,35.5,55.0,Soldier Field
2190,2007_06_MIA_CLE,2007,REG,6,2007-10-14,Sunday,13:00,MIA,31.0,CLE,41.0,10.0,72.0,45.5,58.0,Cleveland Browns Stadium
2191,2007_06_WAS_GB,2007,REG,6,2007-10-14,Sunday,13:00,WAS,14.0,GB,17.0,3.0,31.0,40.5,46.0,Lambeau Field
2192,2007_06_HOU_JAX,2007,REG,6,2007-10-14,Sunday,13:00,HOU,17.0,JAX,37.0,20.0,54.0,37.0,81.0,Jacksonville Municipal Stadium
2193,2007_06_CIN_KC,2007,REG,6,2007-10-14,Sunday,13:00,CIN,20.0,KC,27.0,7.0,47.0,43.5,68.0,Arrowhead Stadium
