,game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,total_line,temp,stadium
5583,2020_01_HOU_KC,2020,REG,1,2020-09-10,Thursday,20:20,HOU,20.0,KC,34.0,14.0,54.0,53.5,56.0,Arrowhead Stadium
5584,2020_01_SEA_ATL,2020,REG,1,2020-09-13,Sunday,13:00,SEA,38.0,ATL,25.0,-13.0,63.0,49.5,,Mercedes-Benz Stadium
5585,2020_01_CLE_BAL,2020,REG,1,2020-09-13,Sunday,13:00,CLE,6.0,BAL,38.0,32.0,44.0,47.0,76.0,M&T Bank Stadium
5586,2020_01_NYJ_BUF,2020,REG,1,2020-09-13,Sunday,13:00,NYJ,17.0,BUF,27.0,10.0,44.0,39.5,67.0,New Era Field
5587,2020_01_LV_CAR,2020,REG,1,2020-09-13,Sunday,13:00,LV,34.0,CAR,30.0,-4.0,64.0,48.0,81.0,Bank of America Stadium
5588,2020_01_CHI_DET,2020,REG,1,2020-09-13,Sunday,13:00,CHI,27.0,DET,23.0,-4.0,50.0,42.5,,Ford Field
5589,2020_01_IND_JAX,2020,REG,1,2020-09-13,Sunday,13:00,IND,20.0,JAX,27.0,7.0,47.0,44.0,80.0,TIAA Bank Stadium
5590,2020_01_GB_MIN,2020,REG,1,2020-09-13,Sunday,13:00,GB,43.0,MIN,34.0,-9.0,77.0,45.0,,U.S. Bank Stadium
5591,2020_01_MIA_NE,2020,REG,1,2020-09-13,Sunday,13:00,MIA,11.0,NE,21.0,10.0,32.0,41.5,70.0,Gillette Stadium
5592,2020_01_PHI_WAS,2020,REG,1,2020-09-13,Sunday,13:00,PHI,17.0,WAS,27.0,10.0,44.0,41.5,76.0,FedExField
5593,2020_01_LAC_CIN,2020,REG,1,2020-09-13,Sunday,16:05,LAC,16.0,CIN,13.0,-3.0,29.0,41.5,83.0,Paul Brown Stadium
5594,2020_01_TB_NO,2020,REG,1,2020-09-13,Sunday,16:25,TB,23.0,NO,34.0,11.0,57.0,48.5,,Mercedes-Benz Superdome
5595,2020_01_ARI_SF,2020,REG,1,2020-09-13,Sunday,16:25,ARI,24.0,SF,20.0,-4.0,44.0,48.5,,Levi's Stadium
5596,2020_01_DAL_LA,2020,REG,1,2020-09-13,Sunday,20:20,DAL,17.0,LA,20.0,3.0,37.0,52.0,,SoFi Stadium
5597,2020_01_PIT_NYG,2020,REG,1,2020-09-14,Monday,19:15,PIT,26.0,NYG,16.0,-10.0,42.0,44.0,71.0,MetLife Stadium
5598,2020_01_TEN_DEN,2020,REG,1,2020-09-14,Monday,22:10,TEN,16.0,DEN,14.0,-2.0,30.0,41.0,79.0,Empower Field at Mile High
5599,2020_02_CIN_CLE,2020,REG,2,2020-09-17,Thursday,20:20,CIN,30.0,CLE,35.0,5.0,65.0,44.5,65.0,FirstEnergy Stadium
5600,2020_02_NYG_CHI,2020,REG,2,2020-09-20,Sunday,13:00,NYG,13.0,CHI,17.0,4.0,30.0,42.5,66.0,Soldier Field
5601,2020_02_ATL_DAL,2020,REG,2,2020-09-20,Sunday,13:00,ATL,39.0,DAL,40.0,1.0,79.0,53.0,,AT&T Stadium
5602,2020_02_DET_GB,2020,REG,2,2020-09-20,Sunday,13:00,DET,21.0,GB,42.0,21.0,63.0,51.0,66.0,Lambeau Field
5603,2020_02_MIN_IND,2020,REG,2,2020-09-20,Sunday,13:00,MIN,11.0,IND,28.0,17.0,39.0,49.0,,Lucas Oil Stadium
5604,2020_02_BUF_MIA,2020,REG,2,2020-09-20,Sunday,13:00,BUF,31.0,MIA,28.0,-3.0,59.0,42.5,90.0,Hard Rock Stadium
5605,2020_02_SF_NYJ,2020,REG,2,2020-09-20,Sunday,13:00,SF,31.0,NYJ,13.0,-18.0,44.0,41.5,61.0,MetLife Stadium
5606,2020_02_LA_PHI,2020,REG,2,2020-09-20,Sunday,13:00,LA,37.0,PHI,19.0,-18.0,56.0,46.0,62.0,Lincoln Financial Field
5607,2020_02_DEN_PIT,2020,REG,2,2020-09-20,Sunday,13:00,DEN,21.0,PIT,26.0,5.0,47.0,41.0,64.0,Heinz Field
5608,2020_02_CAR_TB,2020,REG,2,2020-09-20,Sunday,13:00,CAR,17.0,TB,31.0,14.0,48.0,47.0,85.0,Raymond James Stadium
5609,2020_02_JAX_TEN,2020,REG,2,2020-09-20,Sunday,13:00,JAX,30.0,TEN,33.0,3.0,63.0,44.5,72.0,Nissan Stadium
5610,2020_02_WAS_ARI,2020,REG,2,2020-09-20,Sunday,16:05,WAS,15.0,ARI,30.0,15.0,45.0,46.5,,State Farm Stadium
5611,2020_02_BAL_HOU,2020,REG,2,2020-09-20,Sunday,16:25,BAL,33.0,HOU,16.0,-17.0,49.0,49.5,,NRG Stadium
5612,2020_02_KC_LAC,2020,REG,2,2020-09-20,Sunday,16:25,KC,23.0,LAC,20.0,-3.0,43.0,47.0,,SoFi Stadium
5613,2020_02_NE_SEA,2020,REG,2,2020-09-20,Sunday,20:20,NE,30.0,SEA,35.0,5.0,65.0,45.0,70.0,CenturyLink Field
5614,2020_02_NO_LV,2020,REG,2,2020-09-21,Monday,20:15,NO,24.0,LV,34.0,10.0,58.0,47.5,,Allegiant Stadium
5615,2020_03_MIA_JAX,2020,REG,3,2020-09-24,Thursday,20:20,MIA,31.0,JAX,13.0,-18.0,44.0,49.0,81.0,TIAA Bank Stadium
5616,2020_03_CHI_ATL,2020,REG,3,2020-09-27,Sunday,13:00,CHI,30.0,ATL,26.0,-4.0,56.0,46.0,,Mercedes-Benz Stadium
5617,2020_03_LA_BUF,2020,REG,3,2020-09-27,Sunday,13:00,LA,32.0,BUF,35.0,3.0,67.0,46.5,79.0,New Era Field
5618,2020_03_WAS_CLE,2020,REG,3,2020-09-27,Sunday,13:00,WAS,20.0,CLE,34.0,14.0,54.0,45.0,73.0,FirstEnergy Stadium
5619,2020_03_TEN_MIN,2020,REG,3,2020-09-27,Sunday,13:00,TEN,31.0,MIN,30.0,-1.0,61.0,49.5,,U.S. Bank Stadium
